epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3492,1.45552,10.0111,1.79547,0.83231,0.78615,0.90793,0.7429,1.50927,6.68758,1.7346,0.000660317,0.000660317,0.000660317
2,87.9021,1.51372,5.41531,1.83415,0.87081,0.88416,0.95427,0.78079,1.41941,2.18897,1.73965,0.00119561,0.00119561,0.00119561
3,113.835,1.4751,3.02787,1.82662,0.8752,0.85579,0.9425,0.76327,1.51806,1.53115,1.77255,0.00159891,0.00159891,0.00159891
4,139.866,1.45486,1.94983,1.81411,0.9518,0.92435,0.97799,0.83756,1.23419,0.76459,1.7005,0.001406,0.001406,0.001406
5,166.113,1.38022,1.41367,1.78939,0.93082,0.94326,0.98343,0.82829,1.38196,0.72859,1.70428,0.001208,0.001208,0.001208
6,194.065,1.3012,1.14115,1.75271,0.97031,0.9669,0.98878,0.87361,1.08537,0.64996,1.66601,0.00101,0.00101,0.00101
7,221.932,1.21089,0.95853,1.72444,0.98578,0.95508,0.99149,0.89238,1.01836,0.58202,1.6479,0.000812,0.000812,0.000812
8,248.613,1.14654,0.86206,1.71575,0.9669,0.96671,0.98853,0.89023,0.96261,0.54368,1.6328,0.000614,0.000614,0.000614
9,275.31,1.09142,0.77189,1.69388,0.97387,0.96933,0.99167,0.90403,0.91288,0.51383,1.62625,0.000416,0.000416,0.000416
10,301.959,1.03395,0.73292,1.68424,0.9716,0.97064,0.99131,0.92052,0.86805,0.48508,1.61117,0.000218,0.000218,0.000218
